DATE,NITRATE,TOTAL-PHOSPHATE,SR-PHOSPHATE
01/11/2017 00:00,9.81685,-0.74451,-0.24939
01/11/2017 00:30,9.77106,-0.74359,-0.24878
01/11/2017 01:00,9.78938,-0.74451,-0.24939
01/11/2017 01:30,9.77106,-0.74451,-0.24939
01/11/2017 02:00,9.78938,-0.74451,-0.24969
01/11/2017 02:30,9.78022,-0.74451,-0.24939
01/11/2017 03:00,9.78938,-0.74451,-0.24969
01/11/2017 03:30,9.79853,-0.74451,-0.24969
01/11/2017 04:00,9.77106,-0.74542,-0.24939
01/11/2017 04:30,9.7619,-0.74451,-0.24939
01/11/2017 05:00,9.77106,-0.74451,-0.24969
01/11/2017 05:30,9.78938,-0.74451,-0.24939
01/11/2017 06:00,9.81685,-0.74451,-0.24969
01/11/2017 06:30,9.83516,-0.74451,-0.24939
01/11/2017 07:00,9.82601,-0.74542,-0.24939
01/11/2017 07:30,9.87179,-0.74542,-0.24939
01/11/2017 08:00,9.84432,-0.74542,-0.24939
01/11/2017 08:30,9.86264,-0.74451,-0.24939
01/11/2017 09:00,9.80769,-0.74451,-0.24908
01/11/2017 09:30,9.82601,-0.74451,-0.24939
01/11/2017 10:00,9.84432,-0.74542,-0.24939
01/11/2017 10:30,9.81685,-0.74451,-0.24939
01/11/2017 11:00,9.79853,-0.74542,-0.24939
01/11/2017 11:30,9.79853,-0.74542,-0.24939
01/11/2017 12:00,9.78022,-0.74451,-0.24969
01/11/2017 12:30,9.79853,-0.74451,-0.24939
01/11/2017 13:00,9.78022,-0.74451,-0.24939
01/11/2017 13:30,9.78022,-0.74542,-0.24939
01/11/2017 14:00,9.80769,-0.74542,-0.24969
01/11/2017 14:30,9.75275,-0.74542,-0.24939
01/11/2017 15:00,9.78938,-0.74451,-0.24939
01/11/2017 15:30,9.77106,-0.74451,-0.24969
01/11/2017 16:00,9.74359,-0.74451,-0.24939
01/11/2017 16:30,9.7619,-0.74542,-0.24939
01/11/2017 17:00,9.75275,-0.74451,-0.24939
01/11/2017 17:30,9.75275,-0.74451,-0.24939
01/11/2017 18:00,9.75275,-0.74451,-0.25
01/11/2017 18:30,9.74359,-0.74451,-0.24878
01/11/2017 19:00,9.75275,-0.74451,-0.24969
01/11/2017 19:30,9.78022,-0.74542,-0.24969
01/11/2017 20:00,9.7619,-0.74451,-0.24939
01/11/2017 20:30,9.79853,-0.74542,-0.24939
01/11/2017 21:00,9.7619,-0.74542,-0.24939
01/11/2017 21:30,9.78938,-0.74451,-0.24939
01/11/2017 22:00,9.7619,-0.74451,-0.24939
01/11/2017 22:30,9.75275,-0.74542,-0.24939
01/11/2017 23:00,9.7619,-0.74451,-0.24969
01/11/2017 23:30,9.71612,-0.74634,-0.24969
02/11/2017 00:00,9.74359,-0.74451,-0.24939
02/11/2017 00:30,9.75275,-0.74542,-0.24908
02/11/2017 01:00,9.70696,-0.74451,-0.24939
02/11/2017 01:30,9.73443,-0.74451,-0.24939
02/11/2017 02:00,9.75275,-0.74451,-0.24939
02/11/2017 02:30,9.77106,-0.74451,-0.24939
02/11/2017 03:00,9.75275,-0.74542,-0.24939
02/11/2017 04:00,9.73443,-0.74451,-0.24878
02/11/2017 04:30,9.78022,-0.74451,-0.24939
02/11/2017 05:00,9.78022,-0.74451,-0.24939
02/11/2017 05:30,9.81685,-0.74451,-0.24939
02/11/2017 06:00,9.78938,-0.74542,-0.24939
02/11/2017 06:30,9.78938,-0.74542,-0.24939
02/11/2017 07:00,9.78938,-0.74542,-0.24939
02/11/2017 09:00,9.82601,-0.74451,-0.24939
02/11/2017 09:30,9.81685,-0.74451,-0.25
02/11/2017 10:00,9.80769,-0.74451,-0.24939
02/11/2017 10:30,9.83516,-0.74451,-0.24939
02/11/2017 11:00,9.80769,-0.74451,-0.24939
02/11/2017 11:30,9.79853,-0.74451,-0.24939
02/11/2017 12:00,9.81685,-0.74542,-0.24939
02/11/2017 13:00,9.80769,-0.74542,-0.24939
02/11/2017 13:30,9.77106,-0.74542,-0.24939
02/11/2017 17:00,9.80769,-0.74542,-0.24939
02/11/2017 17:30,9.84432,-0.74451,-0.24939
02/11/2017 18:00,9.7619,-0.74451,-0.24939
02/11/2017 18:30,9.80769,-0.74451,-0.24939
02/11/2017 19:00,9.74359,-0.74542,-0.24939
02/11/2017 19:30,9.73443,-0.74542,-0.24969
02/11/2017 20:00,9.7619,-0.74451,-0.24939
02/11/2017 20:30,9.75275,-0.74451,-0.24939
02/11/2017 21:00,9.74359,-0.74542,-0.24969
02/11/2017 21:30,9.73443,-0.74451,-0.24939
02/11/2017 22:00,9.71612,-0.74451,-0.24939
02/11/2017 22:30,9.74359,-0.74451,-0.24969
02/11/2017 23:00,9.75275,-0.74542,-0.24939
02/11/2017 23:30,9.7619,-0.74542,-0.24939
03/11/2017 00:00,9.7619,-0.74451,-0.24939
03/11/2017 00:30,10.00916,-0.74542,-0.24939
03/11/2017 01:00,9.83516,-0.74542,-0.24939
03/11/2017 01:30,9.92674,-0.74176,-0.24939
03/11/2017 02:00,9.98168,-0.74542,-0.24939
03/11/2017 02:30,10.07326,-0.74542,-0.24939
03/11/2017 03:00,10.19231,-0.74542,-0.24939
03/11/2017 03:30,10.29304,-0.74451,-0.24939
03/11/2017 04:00,10.35714,-0.74542,-0.24939
