ob_end_time,max_air_temp,min_air_temp,min_grss_temp,min_conc_temp,max_air_temp_q,min_air_temp_q,min_grss_temp_q,min_conc_temp_q,meto_stmp_time
01/01/2001 09:00,3.5,2.6,0.5,0,151,1,151,1,02/03/2001 08:15
03/01/2001 09:00,10,2.5,0,0,1,1,1,1,02/03/2001 08:15
04/01/2001 09:00,11.6,1.8,-4.5,-1.7,1,1,1,1,02/03/2001 08:15
05/01/2001 09:00,11.7,6.5,3.9,3.9,1,1,1,1,02/03/2001 08:15
06/01/2001 09:00,8.9,2,-3.4,-1.4,1,1,1,1,02/03/2001 08:15
07/01/2001 09:00,7.4,0.4,-4.8,-2.5,1,1,1,1,02/03/2001 08:15
08/01/2001 09:00,8.6,1,-5,-2.8,1,1,1,1,02/03/2001 08:15
09/01/2001 09:00,8.7,-1.7,-5.2,-2.5,1,1,1,1,02/03/2001 08:15
10/01/2001 09:00,8.6,-0.4,-1.3,-2.2,1,1,1,1,02/03/2001 08:15
11/01/2001 09:00,5.3,4.2,2.2,1.2,1,1,1,1,02/03/2001 08:15
12/01/2001 09:00,6.5,4.2,0,1,1,1,1,1,02/03/2001 08:15
13/01/2001 09:00,5.9,1.2,-2.9,-3,1,1,1,1,02/03/2001 08:15
14/01/2001 09:00,7.6,1.2,-3.6,-2.8,1,1,1,1,02/03/2001 08:15
15/01/2001 09:00,6,1.9,-1.5,-1.4,1,1,1,1,02/03/2001 08:15
16/01/2001 09:00,7.2,-4.4,-8.8,-6.2,1,1,1,1,02/03/2001 08:15
17/01/2001 09:00,5.2,-4.7,-9.4,-7.2,1,1,1,1,02/03/2001 08:15
18/01/2001 09:00,4.5,-4.6,-9.5,-6.9,1,1,1,1,02/03/2001 08:15
19/01/2001 09:00,5.3,-6.1,-11.2,-8.3,1,1,1,1,02/03/2001 08:15
21/01/2001 09:00,3.2,0.2,-8.9,-5,1,1,1,1,02/03/2001 08:15
22/01/2001 09:00,7.7,2,2.2,0.4,1,1,1,151,02/03/2001 08:15
23/01/2001 09:00,7.5,4.9,0.7,-0.5,1,1,1,151,02/03/2001 08:15
24/01/2001 09:00,10.1,4.9,3.8,2.3,1,1,1,151,02/03/2001 08:15
25/01/2001 09:00,11.9,3.4,0,-0.6,1,1,1,1,02/03/2001 08:15
26/01/2001 09:00,10.8,3.3,-0.2,-1.1,1,1,1,1,02/03/2001 08:15
27/01/2001 09:00,9,-0.6,-0.5,-1.5,1,1,1,1,02/03/2001 08:15
28/01/2001 09:00,9.1,-3.5,-7.5,-5,1,1,1,1,02/03/2001 08:15
29/01/2001 09:00,7.8,-0.3,-7.4,-3.3,1,1,1,1,02/03/2001 08:15
30/01/2001 09:00,7.1,-2.1,-6.5,-3.5,1,1,1,1,02/03/2001 08:15
31/01/2001 09:00,4.4,2.8,1.8,0,1,1,1,151,02/03/2001 08:15
01/02/2001 09:00,4.8,-2,-6.8,-3.6,1,1,1,1,02/03/2001 08:18
02/02/2001 09:00,8.8,-0.5,-0.1,-0.4,1,1,1,1,02/03/2001 08:18
03/02/2001 09:00,9.1,5,2.9,3,1,1,1,1,02/03/2001 08:18
04/02/2001 09:00,9.7,4.5,1.7,1.9,1,1,1,1,02/03/2001 08:18
05/02/2001 09:00,10.5,6.8,4.8,4.2,1,1,1,1,02/03/2001 08:18
06/02/2001 09:00,10.2,7.9,6.5,5.5,1,1,1,1,02/03/2001 08:18
07/02/2001 09:00,11.5,7,4.1,3.2,1,1,1,1,02/03/2001 08:18
08/02/2001 09:00,12.3,4.7,0.6,3.2,1,1,1,1,02/03/2001 08:18
10/02/2001 09:00,7.9,-0.6,-5.3,-3.1,1,1,1,1,02/03/2001 08:18
12/02/2001 09:00,12.4,10.5,9.6,8.5,1,1,1,151,02/03/2001 08:18
13/02/2001 09:00,16.4,-0.1,-3.9,-2.7,1,1,1,1,02/03/2001 08:18
14/02/2001 09:00,11,-2.1,-6.2,-4,1,1,1,1,02/03/2001 08:18
15/02/2001 09:00,10.7,1,-3.8,-2.8,1,1,1,1,02/03/2001 08:18
16/02/2001 09:00,12.1,-2.3,-5.9,-4.4,1,1,1,1,02/03/2001 08:18
17/02/2001 09:00,12.3,-2.5,-6.6,-5.5,1,1,1,1,02/03/2001 08:18
18/02/2001 09:00,10,-0.5,-3.7,-2.1,1,1,1,1,02/03/2001 08:18
19/02/2001 09:00,5.3,-0.6,-5.2,-3,1,1,1,1,02/03/2001 08:18
20/02/2001 09:00,9.3,-0.9,-4.6,-2.9,1,1,1,1,02/03/2001 08:18
21/02/2001 09:00,8.5,1.5,-3.1,-1,1,1,1,1,02/03/2001 08:18
22/02/2001 09:00,9.6,4.2,-1.1,1.1,1,1,1,1,02/03/2001 08:18
23/02/2001 09:00,12.2,3.2,-1,0.2,1,1,1,1,02/03/2001 08:18
24/02/2001 09:00,12.2,0.8,-2.4,-1.3,1,1,1,1,02/03/2001 08:18
25/02/2001 09:00,8.5,-3,-7.1,-3.6,1,1,1,1,02/03/2001 08:18
26/02/2001 09:00,6.5,-0.9,-5.6,-3.2,1,1,1,1,02/03/2001 08:18
27/02/2001 09:00,7,-0.1,-3.5,-1.9,1,1,1,1,02/03/2001 08:18
28/02/2001 09:00,6.9,2.2,0.5,1.8,1,1,1,1,02/03/2001 08:18
02/03/2001 09:00,7.7,-3.9,-8.5,-4.6,1,1,1,1,02/04/2001 15:35
03/03/2001 09:00,3.2,-0.5,-2.6,-1.8,1,1,1,1,02/04/2001 15:35
04/03/2001 09:00,3.9,0.8,-1.2,-0.4,1,1,1,1,02/04/2001 15:35
05/03/2001 09:00,5.1,-5.7,-11.2,-7.1,1,1,1,1,02/04/2001 15:35
06/03/2001 09:00,4.9,0,-5.6,-3.6,151,1,1,1,02/04/2001 15:35
07/03/2001 09:00,9.5,6,4.6,3,151,1,1,151,02/04/2001 15:35
08/03/2001 09:00,13.5,5.9,0.1,2.4,1,1,1,1,02/04/2001 15:35
09/03/2001 09:00,15.3,4.9,0.5,1.3,1,1,1,1,02/04/2001 15:35
10/03/2001 09:00,15.2,1.2,-2.6,-1,1,1,1,1,02/04/2001 15:35
11/03/2001 09:00,13.1,9.6,6.4,7.1,1,1,1,1,02/04/2001 15:35
24/03/2001 09:00,14.4,7.2,7.2,7.4,1,1,1,1,02/04/2001 15:35
25/03/2001 09:00,11,4.9,4.5,5.1,1,1,1,1,02/04/2001 15:35
26/03/2001 09:00,9.6,3.1,2.6,3.2,1,1,1,1,02/04/2001 15:35
27/03/2001 09:00,6.5,3.3,-0.9,1.8,151,1,1,1,02/04/2001 15:35
28/03/2001 09:00,7.9,5.5,0,3.2,1,1,1,1,02/04/2001 15:35
